gene,Day0,Day10,Day2,Day4
Ccdc65,,1.6563759087531922,,0.9904189036640476
Ccdc68,1.0563806954423776,1.4436569380851085,1.0800437959724554,1.5746231738014462
Ccdc73,0.5471334303581094,0.9962837505754101,1.4029252515042276,1.0093877880949047
Ccdc8,1.2300862245839497,1.32086142609332,0.9309723492041887,1.0079658540607817
Ccdc80,,0.6989709825727068,,1.5675042809717195
Ccdc85a,1.2744165503460854,1.4714134305171842,1.1279345511339471,1.5899105084126275
Ccl17,,1.3302132052787285,1.48438874838069,2.568680999257074
Ccl20,,1.4468639060374566,,
Ccl3,,,1.9026569233601065,
Ccn3,,1.3337577287784137,,
Ccna2,0.1401428143109044,1.3565114560823113,1.021612063021703,1.3356460554414096
Ccnb1,0.13863262041668556,0.9771391123982125,1.082843703081621,1.306535392640091
Ccnb2,0.13981336916441528,1.420570778528645,1.0556075008194732,1.1574364744678869
Ccrl2,,1.351983178231078,,
Ccser1,1.4305021890955874,1.145702614410663,1.3554758989958766,1.316626668636281
Cd109,1.1094656774655876,1.374960267951286,0.056932926978851606,1.3559206617372122
Cd14,,1.386873426574377,1.1272953424020695,1.3659244086653084
Cd164l2,1.054633462871748,1.2263345919933075,1.2373882895200838,1.3857640062676047
Cd200,1.2823608122410475,1.3455531170994592,1.051481124894372,1.3350005426078937
Cd28,,1.741028260435475,,
Cd34,1.0710092998810694,,1.3628998014750988,
Cd36,,1.3762901585478884,1.6725116693184956,
Cd37,1.0629385119896138,,1.4045537039320646,
Cd38,1.4109778269773519,1.5033200818704608,1.478715196401464,1.9678092226877792
Cd3e,1.101631512942066,,1.735265213054581,
Cd44,1.659552112469863,1.1359760976200588,1.2172323404443819,1.7827677750587347
Cd55,1.1223017953379908,1.4331985011943664,1.1914416526132845,1.5706906843609965
Cd59b,0.8301251320627068,1.5844231798243746,1.0515075959677087,1.1327385683965305
Cd68,1.1309459700147602,1.3935092147066803,1.086537549150639,1.2585895197508206
Cd74,1.0761179725332346,,1.459849182326328,
Cd82,1.497668220218397,1.2037018467060445,1.2123933696935278,1.3747144834393334
Cd83,,1.1510228762477015,,1.3296719375906783
Cdc25c,0.8538880126146596,1.473291895280642,1.1003006950458665,1.3367565750442891
Cdc42ep1,1.480362834442613,1.2789388414536387,1.154236966523547,1.7249162971585523
Cdc45,0.0014500663952330647,1.002570727698608,0.966761948754971,1.3352149660685497
Cdca2,1.3421718996520988,1.3463268778147035,1.0641537145038023,1.4222259361560199
Cdca3,0.0014500663952330647,1.3598238307627593,1.027537978430289,1.1727321329787592
Cdca7l,0.40546841194540556,1.0709398459571275,0.0014573774048339157,1.3529003460235645
Cdcp1,,1.3647654835861256,,1.8655722082013964
Cdh1,0.846423466059908,1.306646082462654,1.1629486141425904,1.991975788538376
Cdh12,,1.3407082261814887,,
Cdh13,,1.1857542534941947,,1.3585515086587638
Cdh15,1.0556593546796127,,1.6857883498433828,1.5045237532001638
Cdh20,,1.3743384139578088,,1.2133336030202209
Cdh22,,1.2503539752645274,,1.3653861812602506
Cdh4,1.380095979498283,1.216707485246066,1.136520581435163,1.026543487077289
Cdh5,,1.740036971342427,,
Cdh6,2.3442728631511014,0.7042419047022304,1.0542766745524856,0.999632306587626
Cdh7,,1.448433509765685,,1.186024112599769
Cdh8,,1.357339711770601,,1.0903693675561934
Cdh9,1.5651964444813753,1.2254517614147507,,
Cdhr1,1.3444535021011856,,,1.5027310409488452
Cdk5r1,0.9198407143423764,1.2801204364896814,1.1315863591690214,1.3539034142332773
Cdk5r2,0.5962457463976283,1.4898976487471538,1.0822831803536337,1.0399369572935089
Cdkn2a,0.7898412858133019,1.3835208868162907,1.1276974911274564,1.243294354497866
Cdkn2b,1.1630267600540836,1.358458156892542,1.1934649030042541,1.585098213917333
Cdkn3,0.0014500663952330647,1.4321071297753138,1.0791509868915152,1.3150511833545464
Cdx1,,,1.352965596472651,
Cdx2,,1.4129353628898733,1.7272029072544777,2.0466641084522577
Ceacam18,,1.7973089872414652,,
Cebpe,1.3206308310775876,,,
Cela1,1.2285404879137602,,1.3656509127583327,
Celf6,,1.5690051829025955,,1.4620534139832917
Celsr3,1.0035162754330038,1.3198313075751722,,1.1398366169140797
Cemip,2.1350031875556224,0.2896764667760967,1.6596114700503504,1.9958719393814823
Cend1,,1.250415845143938,1.0766245172449405,1.4033664221408528
Cenpe,1.2036167926994512,1.321529515047032,1.0275433802255505,1.239526115214969
Cenph,0.0014500663952330647,1.4426207008157808,0.9876247952994002,1.2310240951762024
Cenpi,0.47981918450983263,1.4075801161568855,1.0116583107062445,1.1196847241214563
Cenpm,0.14159417755659043,1.1504399621314612,0.9968067117728017,1.3478502698795596
Cenpp,0.2467129040959555,1.3159151996827214,0.9153309667957795,1.2745734950295182
Cep112it,,1.3899145871916851,,
Cep55,1.1723758693548239,1.3496148684236202,1.0524445359315586,1.3174486684544104
Ces4a,,1.8414188661981403,,
Cfap100,,1.3460530610889603,,0.8920410490828613
Cfap126,1.411909520664346,1.0607494500565984,,
Cfap206,,,,1.342749797819391
