gene,delta,Day0,Day2,Day4,Day10,max,labels
Ptchd1,0.08963367017234994,1.0008091908879087,,,1.4561816980860665,1.4561816980860665,0001
Nwd1,0.08963367017234994,,,,1.456169564512326,1.456169564512326,0001
Ralyl,0.08963367017234994,,,1.24219320829573,1.4553806529013324,1.4553806529013324,0001
Filip1l,0.08963367017234994,1.1697134803515348,1.2600092429053147,1.2720539057473779,1.4552982201155413,1.4552982201155413,0001
Hbq1a,0.08963367017234994,,,,1.455033349343099,1.455033349343099,0001
S1pr1,0.08963367017234994,,1.0860772941839498,1.077241620363024,1.4549086966730393,1.4549086966730393,0001
Kcnma1,0.08963367017234994,,,1.2248221118820297,1.454657784127626,1.454657784127626,0001
Ugt2b36,0.08963367017234994,,,,1.4537387014296932,1.4537387014296932,0001
Mro,0.08963367017234994,,,,1.452839575556171,1.452839575556171,0001
Coro1a,0.08963367017234994,1.0124732403352183,1.2187468735962104,1.1590874949402463,1.452173884739184,1.452173884739184,0001
Hamp,0.08963367017234994,,,,1.4505183890698912,1.4505183890698912,0001
Cyp2c65,0.08963367017234994,,,,1.4501384194530327,1.4501384194530327,0001
Smtn,0.08963367017234994,0.873320170267403,1.0794635696660606,1.0865784036738888,1.4499237895522583,1.4499237895522583,0001
Riiad1,0.08963367017234994,,,1.2461508143671043,1.4492700123628572,1.4492700123628572,0001
Ntsr2,0.08963367017234994,,,,1.4484647482844613,1.4484647482844613,0001
Cdh7,0.08963367017234994,,,1.186024112599769,1.448433509765685,1.448433509765685,0001
Sardh,0.08963367017234994,,,,1.4471360157848543,1.4471360157848543,0001
Ccl20,0.08963367017234994,,,,1.4468639060374566,1.4468639060374566,0001
C1qtnf1,0.08963367017234994,,,,1.4455559424674171,1.4455559424674171,0001
Synpr,0.08963367017234994,,1.2030110177564415,1.2558798603880064,1.4452262728635776,1.4452262728635776,0001
Paqr9,0.08963367017234994,1.0809877402838408,,1.165822724669085,1.4449165996456175,1.4449165996456175,0001
Anxa13,0.08963367017234994,,,,1.4448877287732,1.4448877287732,0001
Apela,0.08963367017234994,1.2445116220967947,1.0851264214955703,1.186653829480115,1.4443481281997972,1.4443481281997972,0001
Orc1,0.08963367017234994,0.0014500663952330647,1.0292149435989866,1.109729099039092,1.4435037360890584,1.4435037360890584,0001
Insm1,0.08963367017234994,0.9148266718612644,1.2619033357609128,1.1511293133492178,1.4431374449963479,1.4431374449963479,0001
Slc5a2,0.08963367017234994,,,1.161158415562982,1.4430442037980724,1.4430442037980724,0001
Cenph,0.08963367017234994,0.0014500663952330647,0.9876247952994002,1.2310240951762024,1.4426207008157808,1.4426207008157808,0001
Ripply3,0.08963367017234994,,1.1349584835416784,1.1062214022535928,1.4420093919393744,1.4420093919393744,0001
Hpcal4,0.08963367017234994,,,,1.4416424989834304,1.4416424989834304,0001
Itih5,0.08963367017234994,,1.1310678066347686,1.164083878353559,1.4415003202222119,1.4415003202222119,0001
Kcnq3,0.08963367017234994,1.272108988821513,,1.0398072898725643,1.4410165161665973,1.4410165161665973,0001
Tmem45b,0.08963367017234994,,,,1.4402128418758906,1.4402128418758906,0001
Pparg,0.08963367017234994,,,,1.4398428177262221,1.4398428177262221,0001
Kif14,0.08963367017234994,1.2272997124001954,1.055859089850882,1.2346734290307777,1.4396143528795151,1.4396143528795151,0001
Neurod6,0.08963367017234994,,,,1.4395930049722954,1.4395930049722954,0001
Myl7,0.08963367017234994,0.8999354881518121,1.1524315427928482,1.2281698043885123,1.4387107875243512,1.4387107875243512,0001
Gpr12,0.08963367017234994,,,,1.4380987235566458,1.4380987235566458,0001
Gpd1,0.08963367017234994,,,1.121728944287232,1.4378959109011913,1.4378959109011913,0001
Sowaha,0.08963367017234994,,,,1.4378848915145288,1.4378848915145288,0001
Wnt5b,0.08963367017234994,1.0213303394202216,1.058552430484638,1.0828484460050816,1.4354723167277637,1.4354723167277637,0001
Nell1,0.08963367017234994,,,1.1988734394573493,1.4347690490026426,1.4347690490026426,0001
Bst1,0.08963367017234994,,,,1.4345480905489385,1.4345480905489385,0001
Rab19,0.08963367017234994,0.9237747655877329,,,1.4344317051858915,1.4344317051858915,0001
